original_title,id,low_budget,mid_budget,big_budget,day,month,year,GENRE_ACTION,GENRE_ADVENTURE,GENRE_ANIMATION,GENRE_COMEDY,GENRE_CRIME,GENRE_DOCUMENTARY,GENRE_DRAMA,GENRE_FAMILY,GENRE_FANTASY,GENRE_FOREIGN,GENRE_HISTORY,GENRE_HORROR,GENRE_MUSIC,GENRE_MYSTERY,GENRE_ROMANCE,GENRE_SCIENCE_FICTION,GENRE_THRILLER,GENRE_WAR,GENRE_WESTERN,runtime,popularity,vote_average,vote_count
Little Women,999000,0,0,1,25,12,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,134,20,7.7,736
1917,999001,0,0,1,25,12,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,118,24,8.6,910
Spies in Disguise,999002,0,0,1,25,12,2019,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,101,171,6.4,174
Uncut Gems,999003,0,1,0,25,12,2019,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,135,27,8.1,2690
Just Mercy,999004,0,1,0,10,1,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,136,166,5.7,712
Joker,999005,0,1,0,4,10,2019,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,122,12,8.7,525350
Frozen II,999006,0,0,1,22,11,2019,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,103,11,7.3,36890
Dark Phoenix,999007,0,0,1,7,6,2019,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,228,5.8,115159
Richard Jewell,999008,0,1,0,13,12,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,131,15,7.7,2363
Midway,999009,0,0,1,8,11,2019,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,138,55,6.9,15991
Star Wars IX: The Rise of Skywalker,999010,0,0,1,19,12,2019,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,141,7,6.8,5727
